Segment,Secondary Segment,Stock,Comments,Risks
,,HOOD,"02/12/26: Can be bought for long term, 5-10 % of your portfolio",Crytpo- Crypto is going down as of 02/12 so watch out for this for further downside to the HOOD stock
Index,,SPY,Put 60-80 of your portfolion in this. No other thoughts,
Index,,QQQ,,
AI Infra,AI,CRWV,"NVIDIA Investment
Contractual agreements for future power generation already",to build data centers they have to get lot of debt
AI Infra,AI,IREN,"BITCOIN mining business transitioning into AI infa business 
In 2025 only has fraction of revenue coming in from AI ",this need to navigate away from mining as Crypto is not doing weel
AI Infra,AI,NBIS,"Fullstack AI platform. 
Growing revenues at a rapid pace.
Has a guaranteed backlog of business with MSFT and META
Targetting regulated industries like Banking, HealthCare, Govt",
AI Infra,AI,APLD,Small Investment from NVDIA,
Memory,AI,KORU,,
SW,AI,NOW,"Service now almost down 50%, but have AI development in the works for a quite time",
SW,AI Infra,ORCL,Oracale can be broguht as it is building huge data centers and has AI offerings in its portfolio,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
youtube.com/watch?v=kXpGadTq5z4,,,,
